SEGMENT,STAGE,N_EXPOSURES,TOTAL_EAD,TOTAL_ECL,COVERAGE
BTL_MORTGAGE,1,16,5135282.68,1354.55,0.00
BTL_MORTGAGE,2,227,77198105.04,1914799.67,0.02
BTL_MORTGAGE,3,11,4093956.46,614093.47,0.15
CREDIT_CARD,1,183,870038.43,7612.47,0.01
CREDIT_CARD,2,144,696748.69,58314.92,0.08
CREDIT_CARD,3,11,55604.82,49877.52,0.90
OVERDRAFT,1,96,184168.54,1617.73,0.01
OVERDRAFT,2,27,56332.57,8047.26,0.14
OVERDRAFT,3,4,9001.34,8695.29,0.97
PERSONAL_LOAN,1,244,5771487.13,51252.84,0.01
PERSONAL_LOAN,2,91,2135171.68,168288.20,0.08
PERSONAL_LOAN,3,20,476366.72,324882.10,0.68
RETAIL_MORTGAGE,1,45,16233520.71,2063.40,0.00
RETAIL_MORTGAGE,2,605,196679408.46,2829414.03,0.01
RETAIL_MORTGAGE,3,19,7186496.91,718649.69,0.10
SME_TERM,1,93,14595159.38,32776.94,0.00
SME_TERM,2,154,31371475.61,1708707.85,0.05
SME_TERM,3,10,1265662.88,475170.54,0.38
